totalload_actual,variable,value
33817.0,conventional,13124.0
33507.0,conventional,13148.0
31412.0,conventional,12876.0
28731.0,conventional,12790.0
28904.0,conventional,15467.0
26773.0,conventional,14890.0
25649.0,conventional,14815.0
25283.0,conventional,14504.0
25106.0,conventional,14574.0
25789.0,conventional,15074.0
28342.0,conventional,15532.0
33292.0,conventional,16582.0
35998.0,conventional,17886.0
37478.0,conventional,18338.0
38178.0,conventional,18375.0
38010.0,conventional,18053.0
37777.0,conventional,17601.0
37441.0,conventional,17489.0
36008.0,conventional,16562.0
35299.0,conventional,16528.0
34953.0,conventional,16587.0
34723.0,conventional,17065.0
35511.0,conventional,18123.0
37468.0,conventional,18698.0
37644.0,conventional,18467.0
36901.0,conventional,18466.0
34549.0,conventional,18327.0
31734.0,conventional,17657.0
28838.0,conventional,15361.0
26702.0,conventional,14656.0
25497.0,conventional,14562.0
25071.0,conventional,14830.0
24925.0,conventional,15009.0
25580.0,conventional,15513.0
28170.0,conventional,16351.0
32461.0,conventional,17704.0
35469.0,conventional,18290.0
36918.0,conventional,19246.0
37327.0,conventional,18954.0
37366.0,conventional,18915.0
37457.0,conventional,18543.0
37451.0,conventional,18027.0
35909.0,conventional,17418.0
35226.0,conventional,16755.0
34984.0,conventional,16418.0
34771.0,conventional,16333.0
34690.0,conventional,15748.0
36276.0,conventional,15718.0
37210.0,conventional,16068.0
36187.0,conventional,15726.0
33867.0,conventional,14756.0
31129.0,conventional,13560.0
23776.0,conventional,11180.0
22139.0,conventional,11454.0
21015.0,conventional,11106.0
20530.0,conventional,11042.0
20313.0,conventional,11166.0
20759.0,conventional,11484.0
22299.0,conventional,11418.0
24939.0,conventional,11589.0
26694.0,conventional,11308.0
28676.0,conventional,11547.0
29668.0,conventional,11242.0
29685.0,conventional,11225.0
29441.0,conventional,11316.0
29175.0,conventional,11097.0
28474.0,conventional,10981.0
27442.0,conventional,11129.0
26856.0,conventional,11179.0
26480.0,conventional,11125.0
26370.0,conventional,11351.0
26924.0,conventional,11516.0
29181.0,conventional,11833.0
31399.0,conventional,11752.0
29327.0,conventional,12066.0
27053.0,conventional,11669.0
22908.0,conventional,11133.0
21328.0,conventional,10668.0
20458.0,conventional,10665.0
20100.0,conventional,10605.0
20075.0,conventional,10528.0
20716.0,conventional,10511.0
23388.0,conventional,11033.0
26206.0,conventional,11446.0
28725.0,conventional,11838.0
30227.0,conventional,12246.0
30891.0,conventional,12275.0
31176.0,conventional,11353.0
31388.0,conventional,11019.0
31266.0,conventional,10751.0
30579.0,conventional,10437.0
30088.0,conventional,10824.0
29651.0,conventional,10869.0
29327.0,conventional,11124.0
28981.0,conventional,10663.0
29128.0,conventional,11107.0
30195.0,conventional,11555.0
32089.0,conventional,12300.0
30344.0,conventional,12117.0
27598.0,conventional,11695.0
25242.0,conventional,14628.0
23866.0,conventional,14434.0
22648.0,conventional,14564.0
22120.0,conventional,14376.0
21702.0,conventional,14635.0
21532.0,conventional,14592.0
21512.0,conventional,14501.0
22082.0,conventional,14460.0
23996.0,conventional,14643.0
26127.0,conventional,14761.0
27455.0,conventional,14810.0
27877.0,conventional,14324.0
28041.0,conventional,14311.0
28125.0,conventional,14394.0
27441.0,conventional,14495.0
26046.0,conventional,13645.0
25207.0,conventional,12994.0
24997.0,conventional,13369.0
24864.0,conventional,13291.0
25003.0,conventional,13483.0
25560.0,conventional,14010.0
26553.0,conventional,14971.0
26485.0,conventional,15480.0
24838.0,conventional,14967.0
25336.0,conventional,15944.0
23870.0,conventional,15337.0
23016.0,conventional,14848.0
22595.0,conventional,14779.0
22532.0,conventional,14847.0
23045.0,conventional,15003.0
25101.0,conventional,15627.0
27738.0,conventional,16873.0
30099.0,conventional,17326.0
32192.0,conventional,17554.0
33370.0,conventional,17853.0
34132.0,conventional,18024.0
34817.0,conventional,18188.0
35144.0,conventional,18262.0
34492.0,conventional,18164.0
33743.0,conventional,17807.0
33534.0,conventional,17819.0
33580.0,conventional,17817.0
33016.0,conventional,17784.0
32484.0,conventional,17683.0
32228.0,conventional,17454.0
32112.0,conventional,17481.0
31625.0,conventional,17749.0
29106.0,conventional,17586.0
29855.0,conventional,18507.0
27869.0,conventional,18242.0
26446.0,conventional,17637.0
25623.0,conventional,17226.0
25263.0,conventional,17248.0
25370.0,conventional,17320.0
26977.0,conventional,18707.0
28784.0,conventional,20433.0
31487.0,conventional,22194.0
34034.0,conventional,23411.0
35784.0,conventional,23664.0
37066.0,conventional,23552.0
38357.0,conventional,23860.0
39378.0,conventional,23831.0
39244.0,conventional,23837.0
38690.0,conventional,23520.0
38416.0,conventional,23261.0
38058.0,conventional,22894.0
37367.0,conventional,22913.0
36787.0,conventional,23481.0
36024.0,conventional,23442.0
36098.0,conventional,23253.0
35392.0,conventional,23500.0
33141.0,conventional,21691.0
26198.0,conventional,16403.0
24723.0,conventional,15953.0
23571.0,conventional,15591.0
22926.0,conventional,15277.0
22275.0,conventional,14928.0
22077.0,conventional,14859.0
22384.0,conventional,15146.0
22260.0,conventional,15373.0
22420.0,conventional,15454.0
24103.0,conventional,15998.0
25760.0,conventional,15960.0
27050.0,conventional,15882.0
27987.0,conventional,15837.0
29075.0,conventional,15847.0
29527.0,conventional,15759.0
29161.0,conventional,15808.0
28710.0,conventional,15842.0
28485.0,conventional,15881.0
28395.0,conventional,16460.0
28376.0,conventional,17813.0
29042.0,conventional,18660.0
30921.0,conventional,18968.0
30065.0,conventional,18887.0
28317.0,conventional,17923.0
25531.0,conventional,14932.0
24456.0,conventional,14678.0
23566.0,conventional,14512.0
23464.0,conventional,14402.0
23249.0,conventional,14483.0
23583.0,conventional,14620.0
25652.0,conventional,15268.0
28840.0,conventional,16522.0
30210.0,conventional,17435.0
31174.0,conventional,16797.0
31500.0,conventional,16168.0
31825.0,conventional,16252.0
32316.0,conventional,16559.0
32187.0,conventional,16637.0
31504.0,conventional,16541.0
31155.0,conventional,16645.0
31036.0,conventional,16549.0
31063.0,conventional,17212.0
30615.0,conventional,17800.0
30784.0,conventional,19000.0
32995.0,conventional,19620.0
32260.0,conventional,18866.0
29308.0,conventional,17915.0
26851.0,conventional,16879.0
24363.0,conventional,14893.0
22707.0,conventional,14124.0
21601.0,conventional,13828.0
21181.0,conventional,13929.0
21143.0,conventional,13942.0
21683.0,conventional,14526.0
23478.0,conventional,16013.0
25892.0,conventional,17840.0
27926.0,conventional,19613.0
29990.0,conventional,20520.0
30970.0,conventional,20635.0
31122.0,conventional,20429.0
30588.0,conventional,20300.0
